query_time,user_id,query,token,matched_seed
C4834FD969574A71FD08D10CF73AD60B,1,笔记本电脑500g硬盘,笔记本电脑,笔记本电脑
C4834FD969574A71FD08D10CF73AD60B,1,笔记本电脑500g硬盘,500g,笔记本电脑
C4834FD969574A71FD08D10CF73AD60B,1,笔记本电脑500g硬盘,硬盘,笔记本电脑
82270AC711633C51A8F72D8E18BD2392,1,红色口红推荐,红色,口红
82270AC711633C51A8F72D8E18BD2392,1,红色口红推荐,口红,口红
82270AC711633C51A8F72D8E18BD2392,1,红色口红推荐,推荐,口红
E9CF0D2C16B1EC3006A5FD0764A3739A,1,一叶子面膜怎么样,一,面膜
E9CF0D2C16B1EC3006A5FD0764A3739A,1,一叶子面膜怎么样,叶子,面膜
E9CF0D2C16B1EC3006A5FD0764A3739A,1,一叶子面膜怎么样,面膜,面膜
E9CF0D2C16B1EC3006A5FD0764A3739A,1,一叶子面膜怎么样,怎么样,面膜
F54D52B88552CA02ECB501D573A0794A,2,一叶子面膜怎么样,一,面膜
F54D52B88552CA02ECB501D573A0794A,2,一叶子面膜怎么样,叶子,面膜
F54D52B88552CA02ECB501D573A0794A,2,一叶子面膜怎么样,面膜,面膜
F54D52B88552CA02ECB501D573A0794A,2,一叶子面膜怎么样,怎么样,面膜
89218890AA52EA6732804EA14D9F41F6,2,紫光电子平板电脑怎么样,紫光,平板电脑
89218890AA52EA6732804EA14D9F41F6,2,紫光电子平板电脑怎么样,电子,平板电脑
89218890AA52EA6732804EA14D9F41F6,2,紫光电子平板电脑怎么样,平板,平板电脑
89218890AA52EA6732804EA14D9F41F6,2,紫光电子平板电脑怎么样,电脑,平板电脑
89218890AA52EA6732804EA14D9F41F6,2,紫光电子平板电脑怎么样,怎么样,平板电脑
D563FF0FFE32C129DB47F61D266953B7,4,吏努比洗发水好吗,吏努比,洗发水
D563FF0FFE32C129DB47F61D266953B7,4,吏努比洗发水好吗,洗发水,洗发水
D563FF0FFE32C129DB47F61D266953B7,4,吏努比洗发水好吗,好,洗发水
D563FF0FFE32C129DB47F61D266953B7,4,吏努比洗发水好吗,吗,洗发水
919ACDB6C984D337BB01AA78084A2E82,1,什么牌子口红好用,什么,口红
919ACDB6C984D337BB01AA78084A2E82,1,什么牌子口红好用,牌子,口红
919ACDB6C984D337BB01AA78084A2E82,1,什么牌子口红好用,口红,口红
919ACDB6C984D337BB01AA78084A2E82,1,什么牌子口红好用,好用,口红
726BD3BEB6CABDE6411F9012B35D5157,2,敷春雨面膜需要洗脸吗,敷,面膜
726BD3BEB6CABDE6411F9012B35D5157,2,敷春雨面膜需要洗脸吗,春雨,面膜
726BD3BEB6CABDE6411F9012B35D5157,2,敷春雨面膜需要洗脸吗,面膜,面膜
726BD3BEB6CABDE6411F9012B35D5157,2,敷春雨面膜需要洗脸吗,需要,面膜
726BD3BEB6CABDE6411F9012B35D5157,2,敷春雨面膜需要洗脸吗,洗脸,面膜
726BD3BEB6CABDE6411F9012B35D5157,2,敷春雨面膜需要洗脸吗,吗,面膜
73831855CDCD2DFF2FC45BF9FCAC2405,2,笔记本电脑滴滴滴响,笔记本电脑,笔记本电脑
73831855CDCD2DFF2FC45BF9FCAC2405,2,笔记本电脑滴滴滴响,滴滴,笔记本电脑
73831855CDCD2DFF2FC45BF9FCAC2405,2,笔记本电脑滴滴滴响,滴响,笔记本电脑
