user_id,age,gender,education,query,matched_seed
0BA56489237BC91353300BE44298C6D8,6,1,0,一只口红代表什么字母,口红
0BA56489237BC91353300BE44298C6D8,6,1,0,一只口红代表什么意思,口红
C4834FD969574A71FD08D10CF73AD60B,1,1,5,笔记本电脑500g硬盘,笔记本电脑
C4834FD969574A71FD08D10CF73AD60B,1,1,5,笔记本电脑启动不了怎么办,笔记本电脑
C4834FD969574A71FD08D10CF73AD60B,1,1,5,联想笔记本电脑500g硬盘,笔记本电脑
C4834FD969574A71FD08D10CF73AD60B,1,1,5,笔记本电脑怎么连接无线网wifi,笔记本电脑
C4834FD969574A71FD08D10CF73AD60B,1,1,5,联想笔记本电脑硬盘,笔记本电脑
C4834FD969574A71FD08D10CF73AD60B,1,1,5,笔记本电脑底部,笔记本电脑
C4834FD969574A71FD08D10CF73AD60B,1,1,5,笔记本电脑硬盘尺寸,笔记本电脑
C4834FD969574A71FD08D10CF73AD60B,1,1,5,联想笔记本电脑内存条,笔记本电脑
C4834FD969574A71FD08D10CF73AD60B,1,1,5,笔记本电脑介绍,笔记本电脑
20858CECBD8ED448A64B70C756ED8DEA,1,1,0,手机壳,手机壳
A9EB0BED8D34ABB58AF6B24204EE05F8,1,2,5,口红要用润唇膏打底,口红
266B8A299027974CC66FB5E0B398B8B2,2,1,5,春雨面膜好用吗,面膜
D85AA6929207EF5EEE6DD79287D0085E,4,2,2,笔记本电脑,笔记本电脑
D85AA6929207EF5EEE6DD79287D0085E,4,2,2,联想笔记本电脑哪款好,笔记本电脑
D85AA6929207EF5EEE6DD79287D0085E,4,2,2,笔记本电脑一般买多大的,笔记本电脑
D85AA6929207EF5EEE6DD79287D0085E,4,2,2,家里用台式电脑好还是笔记本电脑好,笔记本电脑
D85AA6929207EF5EEE6DD79287D0085E,4,2,2,炫彩来电手机壳,手机壳
D85AA6929207EF5EEE6DD79287D0085E,4,2,2,什么笔记本电脑比较好,笔记本电脑
D85AA6929207EF5EEE6DD79287D0085E,4,2,2,什么平板电脑比较好,平板电脑
4A773AA893057C664F0EA5E1B8D88156,1,1,5,睡眠面膜的正确用法,面膜
9BFE6710A8598452D53247F79DC3ED94,1,1,0,红酒口红,口红
9BFE6710A8598452D53247F79DC3ED94,1,1,0,自制美白面膜三天见效,面膜
9BFE6710A8598452D53247F79DC3ED94,1,1,0,卫尚泉净水器骗局揭秘,净水器
9BFE6710A8598452D53247F79DC3ED94,1,1,0,美白面膜,面膜
9BFE6710A8598452D53247F79DC3ED94,1,1,0,红酒口红可以吃吗,口红
9BFE6710A8598452D53247F79DC3ED94,1,1,0,牛奶面膜的功效,面膜
9BFE6710A8598452D53247F79DC3ED94,1,1,0,自制美白面膜,面膜
9BFE6710A8598452D53247F79DC3ED94,1,1,0,卫尚泉净水器,净水器
9BFE6710A8598452D53247F79DC3ED94,1,1,0,卫尚泉净水器价格,净水器
33CF295A05421C2B3EAB7BFEBDF385FF,1,1,5,寇辰徐楠楠口红,口红
3B273E65C2CE6A88745E71B971543267,1,1,5,蓝牙耳机,蓝牙耳机
3B273E65C2CE6A88745E71B971543267,1,1,5,蓝牙耳机声音是怎么回事,蓝牙耳机
3B273E65C2CE6A88745E71B971543267,1,1,5,蓝牙耳机怎么做的,蓝牙耳机
F2F1AA11385F8F944C9E3BAF9756EECE,3,2,4,苹果平板电脑,平板电脑
FCA7D31EFC50DB3D899B70D46F635B0E,2,2,5,迪奥口红,口红
42E62A31DF9B88B174885835F0C13395,3,2,4,自作面膜,面膜
B3EAF66D1A96F5FF98B8FC0105974676,2,1,4,迪奥口红,口红
1354576C8D532D9EE6069250D8F57BBB,1,1,5,平板电脑,平板电脑
76D457A6DEBFB859D67FDBD1AC9E487D,3,1,3,皮衣和羽绒服哪个保暖,羽绒服
